Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2021,Celica ,Loja,1207.666667,547.5,660.1666667,787.0576994,741.6341502,824.8045553,19062622.56,621981.99,26568840,14907,3,1782.306299,0.966815814,0.825385055
2022,Celica ,Loja,1229.333333,551.25,678.0833333,798.5871328,757.4808655,831.9912669,24198828.16,645659.98,29927390,14828,5,2018.302536,13.24105945,9.777238469
2023,Celica ,Loja,1258.333333,546.4166667,711.9166667,864.1147512,805.4716187,909.1460419,15472992.71,686770.23,29959490,14773,4,2027.989576,0.479959751,-1.740211071
2024,Celica ,Loja,1252.5,537.8333333,714.6666667,864.9437307,800.458786,913.5981649,16941562.64,639297.5,,,4,,,
2019,Chaguarpamba ,Loja,290.5,201.3333333,89.16666667,581.6995392,568.646052,613.0290782,8581140.748,450352.55,14760710,7176,1,2056.955128,11.94233575,11.67591941
2020,Chaguarpamba ,Loja,261,180.75,80.25,607.2001527,585.6206767,655.499649,5984963.315,245792.12,13540110,7115,0,1903.037245,-7.482802169,-7.144203011
2021,Chaguarpamba ,Loja,250.9166667,172.75,78.16666667,610.0207415,591.7209117,650.6203257,6971340.142,310939.66,12275770,7047,2,1741.985242,-8.462892868,-8.604323627
2022,Chaguarpamba ,Loja,282.0833333,196.5833333,85.5,607.8099009,587.515035,654.185908,8386180.717,408124.59,13950470,6990,2,1995.775393,14.56901846,11.10519748
2023,Chaguarpamba ,Loja,288.0833333,203.8333333,84.25,613.7522888,595.5129598,657.8294118,9584748.52,317879.31,15081590,6945,4,2171.575234,8.80859846,6.588427637
2024,Chaguarpamba ,Loja,290.9166667,200.0833333,90.83333333,660.3871307,629.2454631,729.0295308,9784592.679,262620.15,,,3,,,
2019,Espíndola ,Loja,845.3333333,481.5,363.8333333,811.1941223,760.7791239,878.2243601,6897358.075,533223.964,16585460,15223,3,1089.500099,24.8290219,24.56260556
2020,Espíndola ,Loja,797,439.4166667,357.5833333,818.9832983,771.4510956,877.6944224,5743548.376,407856.55,15604920,15009,5,1039.704177,-4.570529283,-4.231930125
2021,Espíndola ,Loja,815.5,464.6666667,350.8333333,813.2495814,754.359787,891.1959534,8230404.438,564157.7,16488850,14797,5,1114.337366,7.178309927,7.036879168
2022,Espíndola ,Loja,868.8333333,482.9166667,385.9166667,833.3863627,770.5851796,911.9351756,6866518.041,573847.5,17332420,14619,5,1185.609139,6.395888292,2.932067308
2023,Espíndola ,Loja,916.25,491.6666667,424.5833333,855.3995209,793.9424184,927.1959635,7410071.41,528059.03,19476800,14482,6,1344.897114,13.43511699,11.21494617
2024,Espíndola ,Loja,916.1666667,480.4166667,435.75,854.4508616,808.3412425,905.2455953,6971531.167,761749,,,2,,,
